rank,dua_name,content_type,source_ref,canonical_owner,canonical_note,primary_keyword,secondary_keywords,title_tag,meta_description,unique_value_required,build_wave,why_high_value,corpus_id,build_status,status_note
1,Ayatul Kursi,quran_verse,Quran 2:255,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",ayatul kursi,ayatul kursi in english; ayatul kursi transliteration; ayatul kursi benefits; ayatul kursi pdf,"Ayatul kursi – Arabic, Transliteration & Meaning","Ayatul kursi in Arabic with transliteration and English translation, with the full source reference from the Qur'an (2:255) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Single highest-traffic Islamic verse search term worldwide - must get its own page even though it sits inside the 'morning-evening' chapter.,27:75,ready,"Extraction shape 4: prefix trim, not clause extraction. 27:75's Arabic carries an isti'adha prefix that is not part of 2:255. Ayat al-Kursi is declarative, so the vocative rule correctly finds no clause. Canonical target for 28:100, 25:71."
2,Rabbana atina fid-dunya hasanah,quran_verse,Quran 2:201,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",dua rabbana atina,rabbana atina fid dunya hasanah meaning; dua for this world and hereafter,"Dua rabbana atina – Arabic, Transliteration & Meaning","Dua rabbana atina in Arabic with transliteration and English translation, with the full source reference from the Qur'an (2:201) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Extremely popular short memorized dua taught to children - huge recurring search volume.,quran:2:201,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
3,Rabbana la tu'akhidhna,quran_verse,Quran 2:286,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",rabbana la tuakhidhna dua,rabbana la tuakhidhna in english; end of surah baqarah dua,Rabbana la tuakhidhna dua – Arabic & English Meaning,"Rabbana la tuakhidhna dua in Arabic with transliteration and English translation, sourced from the Qur'an (2:286).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Very high search volume - closing verses of Surah Al-Baqarah,  widely memorized.",28:101,ready,"Extraction shape 3: 2:286 is bundled with 2:285 inside 28:101 (the two closing Baqarah verses). Not absent, not pending-ingest — needs one verse pulled from a two-verse record."
4,Dua of Yunus (AS) - La ilaha illa anta,quran_verse,Quran 21:87,duas,Dua page owns this head term; cross-link only,dua of yunus,la ilaha illa anta subhanaka dua; dua yunus for relief from hardship,"Dua of yunus – Arabic, Transliteration & Meaning","Dua of yunus in Arabic with transliteration and English translation, with the full source reference from the Qur'an (21:87) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,'Dua of Yunus' is a widely searched named dua for relief from distress - strong branded search term.,quran:21:87,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
5,Rabbi ishrah li sadri,quran_verse,Quran 20:25-28,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",rabbi ishrah li sadri dua,dua of musa for confidence; rabbi ishrah li sadri meaning,Rabbi ishrah li sadri dua – Arabic & English Meaning,"Rabbi ishrah li sadri dua in Arabic with transliteration and English translation, sourced from the Qur'an (20:25-28).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Popular dua for confidence/public speaking - searched by students and professionals.,quran:20:25,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
6,Rabbi zidni ilma,quran_verse,Quran 20:114,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",rabbi zidni ilma dua,dua for increase in knowledge; rabbi zidni ilma meaning,"Rabbi zidni ilma dua – Arabic, Transliteration & Meaning","Rabbi zidni ilma dua in Arabic with transliteration and English translation, with the full source reference from the Qur'an (20:114) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Very popular among students - 'dua for knowledge' searches spike during exam seasons.,quran:20:114,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
7,Rabbana hab lana min azwajina,quran_verse,Quran 25:74,duas,Dua page owns this head term; cross-link only,dua for righteous spouse and children,rabbana hab lana dua meaning; dua for good spouse islam,Dua for righteous spouse and children – Arabic & Meaning,"Dua for righteous spouse and children in Arabic with transliteration and English translation, sourced from the Qur'an (25:74).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,High relevance to marriage-seeking audience - strong evergreen demand.,quran:25:74,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
8,Rabbi habli minas saliheen,quran_verse,Quran 37:100,duas,Dua page owns this head term; cross-link only,dua of ibrahim for righteous children,dua for righteous offspring; rabbi hab li minas saliheen meaning,Dua of ibrahim for righteous children – Arabic & Meaning,"Dua of ibrahim for righteous children in Arabic with transliteration and English translation, sourced from the Qur'an (37:100).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Popular with expecting/new parents.,quran:37:100,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
9,Rabbi hab li min ladunka dhurriyyatan tayyibah,quran_verse,Quran 3:38,duas,Dua page owns this head term; cross-link only,dua of zakariya for a child,dua for a child islam; zakariya dua for offspring meaning,Dua of zakariya for a child – Arabic & English Meaning,"Dua of zakariya for a child in Arabic with transliteration and English translation, sourced from the Qur'an (3:38).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Widely searched by couples trying to conceive - sensitive,  high-intent,  evergreen.",quran:3:38,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
10,Rabbi inni lima anzalta ilayya min khairin faqir,quran_verse,Quran 28:24,duas,Dua page owns this head term; cross-link only,dua of musa for provision,dua for rizq quran; musa dua for help meaning,Dua of musa for provision – Arabic & English Meaning,"Dua of musa for provision in Arabic with transliteration and English translation, sourced from the Qur'an (28:24).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Feeds 'dua for rizq/provision' cluster with a strong named-dua hook.,quran:28:24,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
