chapter_slug,chapter_label,duas_in_chapter,gets_static_chapter_page,collections,tier,tier_reason,keyword_rule,primary_keyword,secondary_keywords,title_tag,meta_description,keyword_was_rewritten,original_perplexity_keyword,cannibalization_flag,index_decision
quranic-supplications,Qur'anic supplications,99,yes,The Qur'an,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for quranic supplications,,index
chapters-on-supplication-kitab-al-daawat,Chapters on Supplication (Kitab al-Da'awat),53,yes,Jami at-Tirmidhi,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for chapters on supplication,,index
seeking-refuge-with-allah-kitab-al-istiadha,Seeking Refuge with Allah (Kitab al-Isti'adha),36,yes,Sunan an-Nasa'i,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for seeking refuge with allah,,index
words-of-remembrance-for-morning-and-evening,Words of remembrance for morning and evening,24,yes,"Other source, Hisn al-Muslim, dua-dhikr collection",A,A - High volume / high competition,derive_per_entry_from_translation,,,,,yes,ayatul kursi,COLLISION: 'ayatul kursi' is owned by FAMOUS rank 1. Chapter page must target the plural/list variant or be noindex.,index
remembrance-supplication-kitab-al-dhikr-wal-dua,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),22,yes,Sahih Muslim,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for remembrance & supplication,,index
supplications-in-the-witr-prayer-kitab-al-witr,Supplications in the Witr Prayer (Kitab al-Witr),21,yes,Sunan Abi Dawud,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for the witr prayer,,index
supplication-kitab-al-dua,Supplication (Kitab al-Du'a),20,yes,Sunan Ibn Majah,A,A - High volume / high competition (pillar chapter),derive_per_entry_from_translation,,,,,no,dua for supplication,,index
the-excellence-of-remembering-allah,The excellence of remembering Allah,12,yes,"Hisn al-Muslim, Other source",B,B - Medium volume / medium competition,use_as_is,virtues of dhikr,,"Virtues of dhikr – Arabic, Transliteration & Meaning","Virtues of dhikr in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim, Other source and when to recite it.",yes,dua for the excellence of remembering allah,,index
invocations-after-the-final-tash-ahhud-and-before-ending-the,Invocations after the final Tash-ahhud and before ending the prayer,11,yes,"Hisn al-Muslim, Other source",B,B - Medium volume / medium competition,use_as_is,dua for after the final tash-ahhud and before ending the prayer,dua for after the final tash-ahhud and before ending the prayer in english; dua for after the final tash-ahhud and before ending the prayer transliteration; dua for after the final tash-ahhud and before ending the prayer with meaning; short dua for after the final tash-ahhud and before ending the prayer,Dua for after the final tash-ahhud and before ending the pr…,"Dua for after the final tash-ahhud and before ending the prayer in Arabic, transliteration and English, from Hisn al-Muslim, Other source.",no,dua for after the final tash-ahhud and before ending the prayer,,index
what-to-say-before-sleeping,What to say before sleeping,11,yes,"Other source, Hisn al-Muslim, dua-dhikr collection",B,B - Medium volume / medium competition,use_as_is,dua for sleeping,dua for sleeping in english; dua for sleeping transliteration; dua for sleeping with meaning; short dua for sleeping,"Dua for sleeping – Arabic, Transliteration & Meaning","Dua for sleeping in Arabic with transliteration and English translation, sourced from Other source, Hisn al-Muslim, dua-dhikr collection.",no,dua for sleeping,,index
what-to-say-after-completing-the-prayer,What to say after completing the prayer,8,yes,"Hisn al-Muslim, dua-dhikr collection, Other source",B,B - Medium volume / medium competition,use_as_is,dua for completing the prayer,dua for completing the prayer in english; dua for completing the prayer transliteration; dua for completing the prayer with meaning; short dua for completing the prayer,Dua for completing the prayer – Arabic & English Meaning,"Dua for completing the prayer in Arabic with transliteration and English translation, sourced from Hisn al-Muslim, dua-dhikr collection, Other source.",no,dua for completing the prayer,,index
invocations-during-sujood,Invocations during Sujood,7,yes,"Hisn al-Muslim, Other source",B,B - Medium volume / medium competition,use_as_is,dua for sujood,dua for sujood in english; dua for sujood transliteration; dua for sujood with meaning; short dua for sujood,"Dua for sujood – Arabic, Transliteration & Meaning","Dua for sujood in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim, Other source and when to recite it.",no,dua for sujood,,index
invocations-kitab-al-daawat,Invocations (Kitab al-Da'awat),7,yes,Sahih al-Bukhari,B,B - Medium volume / medium competition,derive_per_entry_from_translation,,,,,no,dua for invocations kitab al da awat,,index
invocations-for-the-beginning-of-the-prayer,Invocations for the beginning of the prayer,6,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua for the beginning of the prayer,dua for the beginning of the prayer in english; dua for the beginning of the prayer transliteration; dua for the beginning of the prayer with meaning; short dua for the beginning of the prayer,Dua for the beginning of the prayer – Arabic & Meaning,"Dua for the beginning of the prayer in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",no,dua for the beginning of the prayer,,index
invocations-during-ruki-bowing-in-prayer,Invocations during Ruki' (bowing in prayer),5,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua for ruku,,"Dua for ruku – Arabic, Transliteration & Meaning","Dua for ruku in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",yes,dua for ruki,,index
invocations-for-anguish,Invocations for anguish,4,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua for anguish,dua for anguish in english; dua for anguish transliteration; dua for anguish with meaning; short dua for anguish,"Dua for anguish – Arabic, Transliteration & Meaning","Dua for anguish in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",no,dua for anguish,,index
invocations-for-the-dead-in-the-funeral-prayer,Invocations for the dead in the Funeral prayer,4,yes,"Hisn al-Muslim, Other source",B,B - Medium volume / medium competition,use_as_is,dua for the dead in the funeral prayer,dua for the dead in the funeral prayer in english; dua for the dead in the funeral prayer transliteration; dua for the dead in the funeral prayer with meaning; short dua for the dead in the funeral prayer,Dua for the dead in the funeral prayer – Arabic & Meaning,"Dua for the dead in the funeral prayer in Arabic with transliteration and English translation, sourced from Hisn al-Muslim, Other source.",no,dua for the dead in the funeral prayer,,index
repentance-and-seeking-forgiveness,Repentance and seeking forgiveness,4,yes,Hisn al-Muslim,B,B - Medium-high volume,use_as_is,dua for repentance and forgiveness,,Dua for repentance and forgiveness – Arabic & Meaning,"Dua for repentance and forgiveness in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",yes,sayyidul istighfar,COLLISION: 'sayyidul istighfar' is owned by FAMOUS rank 16. Chapter page must target the plural/list variant or be noindex.,index
supplications-for-when-you-wake-up,supplications for when you wake up,4,yes,"dua-dhikr collection, Hisn al-Muslim, Other source",B,B - Medium volume / medium competition,use_as_is,dua when you wake up,dua when you wake up in english; dua when you wake up transliteration; dua when you wake up with meaning; short dua when you wake up,"Dua when you wake up – Arabic, Transliteration & Meaning","Dua when you wake up in Arabic with transliteration and English translation, sourced from dua-dhikr collection, Hisn al-Muslim, Other source.",no,dua when you wake up,,index
what-to-say-upon-hearing-the-athan-call-to-prayer,What to say upon hearing the Athan (call to prayer),4,yes,Hisn al-Muslim,B,"B - Medium volume, low competition",use_as_is,dua after azan,dua to say when hearing azan; response to athan; dua after adhan in english,"Dua after azan – Arabic, Transliteration & Meaning","Dua after azan in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",no,dua after azan,,index
invocations-against-the-devil-and-his-promptings,Invocations against the Devil and his promptings,3,no,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,,,,,yes,dua for the devil and his promptings,RESOLVED: chapter flipped to no-page; keyword parked with famous rank 26,"no chapter page — 3 entries are remedies, not supplications (Gate 1 route-out)"
invocations-for-qunut-in-the-witr-prayer,Invocations for Qunut in the Witr prayer,3,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua for qunut in the witr prayer,dua for qunut in the witr prayer in english; dua for qunut in the witr prayer transliteration; dua for qunut in the witr prayer with meaning; short dua for qunut in the witr prayer,Dua for qunut in the witr prayer – Arabic & English Meaning,"Dua for qunut in the witr prayer in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",no,dua for qunut in the witr prayer,,index
