hub_type,slug,label,duas_covered,tier,tier_reason,primary_keyword,secondary_keywords,title_tag,meta_description,index_decision,owns_head_term,notes
occasion,protection,Protection & Refuge,109,A,A - High volume / high competition (top pillar),dua for protection,dua for protection from evil eye; dua for protection from black magic; islamic dua for safety; ruqyah dua for protection; dua for protection from enemies,"Dua for protection – Arabic, Transliteration & Meaning","Authentic Quran & Hadith duas for protection, safety and refuge from evil, harm, black magic and the evil eye - Arabic, transliteration & English meaning.",index,yes — individual dua pages must not reuse this exact phrase,"Largest bucket (109 duas) - biggest single traffic opportunity; also most competitive (IslamicFinder/DuaVault rank here already). Build the deepest content + strong internal linking to every protection-related individual dua. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,general,General Supplications,99,B,B - Medium volume / broad intent,general islamic duas,everyday muslim duas; list of daily duas; general duas for muslims; short duas for everyday life,"General islamic duas – Arabic, Transliteration & Meaning","A complete list of general everyday duas for Muslims with Arabic text, transliteration and English translation from authentic sources.",index,yes — individual dua pages must not reuse this exact phrase,"Low differentiation vs other hubs - use as a catch-all index page; do not over-invest, funnel internal links toward the more specific occasion pages instead. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,prayer,Prayer (Salah),60,A,A - High volume / high competition,dua after prayer,dua before prayer; dua during salah; dua for prostration (sujood); dua after salah in english; dua for tashahhud,"Dua after prayer – Arabic, Transliteration & Meaning","All the Sunnah duas recited before, during and after Salah - opening dua, sujood, ruku, tashahhud and closing supplications with Arabic and translation.",index,yes — individual dua pages must not reuse this exact phrase,"Consistent, non-seasonal daily search demand; strong candidate for a full 'salah duas' pillar page with a step-by-step prayer structure. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,forgiveness,Forgiveness & Repentance,41,A,A - High volume / high competition,dua for forgiveness,dua for forgiveness of sins; sayyidul istighfar; dua for repentance in english; astaghfirullah dua meaning; dua for forgiveness from allah,"Dua for forgiveness – Arabic, Transliteration & Meaning","Authentic duas for forgiveness and repentance including Sayyidul Istighfar, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Pair heavily with the Sayyidul Istighfar individual dua page - it should be the featured/first dua on this hub. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,morning-evening,Morning & Evening,26,A,A - High volume / high competition,morning and evening duas,morning dua islam; evening dua islam; morning adhkar; evening adhkar; azkar for morning and evening pdf,"Morning and evening duas – Arabic, Transliteration & Meaning","The complete Sunnah morning and evening adhkar and duas with Arabic, transliteration and English translation, including Ayatul Kursi.",index,yes — individual dua pages must not reuse this exact phrase,"Extremely high-demand evergreen cluster; anchor with the Ayatul Kursi dua page and offer a printable/PDF-style checklist for engagement. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,sleep-waking,Sleep & Waking,20,A,A - High volume / high competition,dua before sleeping,dua after waking up; sleeping dua in english; dua for good sleep islam; dua when you wake up at night,"Dua before sleeping – Arabic, Transliteration & Meaning","Authentic duas to recite before sleeping and after waking up, with Arabic text, transliteration and English translation from Hisn al-Muslim.",index,yes — individual dua pages must not reuse this exact phrase,"One of the highest-intent daily-habit searches; excellent candidate for a short video/audio embed to boost dwell time. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,distress,Distress & Anxiety,20,A,A - High volume / high competition,dua for anxiety and stress,dua for depression islam; dua for worry and sadness; hasbunallahu wa ni'mal wakeel; dua for peace of mind islam,Dua for anxiety and stress – Authentic Duas with Sources,"Authentic Quran and Hadith duas for anxiety, stress, sadness and distress, with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Rapidly growing search category (mental health + faith); strong evergreen and shareable content, good for social/Pinterest traffic too. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,funeral-illness,"Illness, Death & Funeral",20,B,B - Medium-high volume,dua for a sick person,dua for the deceased; funeral prayer dua; dua for someone who passed away; dua for quick recovery islam,"Dua for a sick person – Arabic, Transliteration & Meaning","Duas for the sick, the dying and the deceased, including funeral prayer supplications, with Arabic text and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Sensitive/high-intent searches, often shared in messaging apps - make individual duas easily copyable/shareable. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,travel,Travel,19,A,A - High volume / high competition,dua for travelling,dua for safe journey; travel dua in english; dua for boarding a flight; dua for returning from a trip,"Dua for travelling – Arabic, Transliteration & Meaning","Authentic travel duas for a safe journey, boarding a vehicle, and returning home, with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Consistently high global search volume (flights/road trips/Hajj travel); strong opportunity for a rich list-style pillar page. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,family-children,Family & Children,17,B,B - Medium-high volume,dua for parents,dua for children in islam; dua for pregnancy; dua for newborn baby; dua for family protection; dua for righteous children,"Dua for parents – Arabic, Transliteration & Meaning","Authentic duas for parents, children, pregnancy and family well-being, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Very shareable/emotional category (Mother's/Father's day spikes); include the Ibrahim/Zakariya Quranic 'offspring' duas here. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
